id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2025-414869,2025-01-30,1,Vente,130000.0,915.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,118.0,,143.0,66.12,,,,,,,2,2.0,Appartement,67.0,4.0,,5.966269,43.125475,000AX,400
2025-414871,2025-02-04,1,Vente,127300.0,138.0,,AV DE L ELYSEE,2560,83200.0,83137,Toulon,83,,51.0,55.23,,,,,,,,,1,2.0,Appartement,56.0,3.0,,5.917775,43.129661,000CY,395
2025-414872,2025-01-30,1,Vente,71000.0,4.0,B,RUE D ESPAGNE,2665,83200.0,83137,Toulon,83,,19.0,40.03,8.0,,,,,,,,2,2.0,Appartement,35.0,2.0,,5.910777,43.129265,000CX,400
2025-414873,2025-01-23,1,Vente,200000.0,2.0,,RUE ADOLPHE GUIOL,0055,83000.0,83137,Toulon,83,,76.0,,,,,,,,,,1,2.0,Appartement,93.0,3.0,,5.92993,43.125164,000CO,407
2025-414884,2025-02-10,1,Vente,96000.0,218.0,,RUE GENERAL MICHEL AUDEOUD,3285,83000.0,83137,Toulon,83,,63.0,,80.0,53.73,,,,,,,2,2.0,Appartement,53.0,3.0,,5.948517,43.117576,000BR,389
2025-414887,2025-01-27,1,Vente,62000.0,4.0,,PL GUSTAVE LAMBERT,3520,83000.0,83137,Toulon,83,,9.0,18.61,,,,,,,,,1,2.0,Appartement,20.0,1.0,,5.93166,43.12142,000CN,403
2025-414897,2025-01-23,1,Vente,147000.0,96.0,,AV FORBIN,2893,83100.0,83137,Toulon,83,,297.0,,305.0,60.89,,,,,,,2,2.0,Appartement,61.0,3.0,,5.964928,43.123245,000BE,407
2025-414898,2025-01-29,1,Vente,170000.0,9008.0,,RUE ROSSINI,6370,83000.0,83137,Toulon,83,,12.0,,,,,,,,,,1,2.0,Appartement,80.0,4.0,,5.946987,43.125216,000CI,401
2025-414903,2025-01-29,1,Vente,55000.0,13.0,,RUE VICTOR REYMONENQ,7185,83200.0,83137,Toulon,83,,22.0,28.79,6.0,,,,,,,,2,2.0,Appartement,29.0,1.0,,5.920503,43.127745,000CY,401
2025-414905,2025-01-24,1,Vente,300000.0,45.0,,IMP DES BUISSONS,1119,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,62.0,3.0,83.0,5.931463,43.107169,000BW,406
2025-414908,2025-01-30,1,Vente,172500.0,26.0,,RUE PAUL MARCHELLI,5630,83000.0,83137,Toulon,83,,1.0,44.6,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.935654,43.1116,000BX,400
2025-414911,2025-01-17,1,Vente,273000.0,90.0,,BD SAINTE HELENE,6595,83000.0,83137,Toulon,83,,84.0,45.8,,,,,,,,,1,2.0,Appartement,45.0,1.0,,5.941188,43.108723,000BV,413
2025-414919,2025-01-29,1,Vente,120000.0,94.0,,RUE AMIRAL EMERIAU,0230,83000.0,83137,Toulon,83,,324.0,,382.0,,,,,,,,2,2.0,Appartement,72.0,4.0,,5.923147,43.132042,000CZ,401
2025-414920,2025-01-23,1,Vente,93000.0,4.0,,PL A L HUILE,3690,83000.0,83137,Toulon,83,,5.0,,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.933337,43.120368,000CM,407
2025-414928,2025-01-27,1,Vente,90000.0,295.0,,RPT MIRASOULEOU,5181,83100.0,83137,Toulon,83,,30.0,,,,,,,,,,1,2.0,Appartement,24.0,1.0,,5.980609,43.133543,000AV,403
2025-414933,2025-01-31,1,Vente,500000.0,503.0,,CHE DE LA BATTERIE BASSE,0636,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,645.0,5.966971,43.106147,000BM,399
2025-414934,2025-02-07,1,Vente,251000.0,481.0,,BD GRIGNAN,3460,83000.0,83137,Toulon,83,,15.0,75.38,6.0,75.38,,,,,,,2,2.0,Appartement,76.0,5.0,,5.934185,43.109355,000BX,392
2025-414937,2025-02-12,1,Vente,285000.0,369.0,,AV MARCEL CASTIE,4795,83000.0,83137,Toulon,83,,70.0,119.02,,,,,,,,,1,2.0,Appartement,120.0,4.0,,5.943507,43.12389,000CI,387
2025-414945,2025-01-30,1,Vente,470000.0,198.0,,AV DE LA PIVOTTE,5838,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,43.0,3.0,250.0,5.970726,43.132289,000AV,400
2025-414945,2025-01-30,1,Vente,470000.0,198.0,,AV DE LA PIVOTTE,5838,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,65.0,3.0,250.0,5.970726,43.132289,000AV,400
2025-414949,2025-02-04,1,Vente,218850.0,10.0,,IMP DU CAP,1193,83000.0,83137,Toulon,83,,19.0,37.81,,,,,,,,,1,2.0,Appartement,37.0,2.0,,5.975365,43.114047,000BK,395
2025-414957,2025-02-04,1,Vente,125000.0,13.0,,PL D ARMES,0418,83000.0,83137,Toulon,83,,17.0,33.0,,,,,,,,,1,2.0,Appartement,77.0,4.0,,5.929836,43.12387,000CO,395
2025-414969,2025-01-27,1,Vente,207000.0,359.0,,CHE DE RIGOUMEL,6247,83200.0,83137,Toulon,83,,138.0,,151.0,62.56,,,,,,,2,2.0,Appartement,45.0,3.0,,5.904453,43.143962,000DV,403
2025-414970,2025-01-30,1,Vente,93000.0,13.0,,RUE SIDI BRAHIM,6780,83200.0,83137,Toulon,83,,8.0,36.21,,,,,,,,,1,2.0,Appartement,38.0,3.0,,5.916321,43.139843,000DH,400
2025-414973,2025-01-27,1,Vente,190000.0,12.0,,PL LOUIS PASTEUR,4660,83000.0,83137,Toulon,83,,10.0,91.1,,,,,,,,,1,2.0,Appartement,88.0,3.0,,5.937156,43.117269,000BZ,403
2025-414976,2025-02-14,1,Vente,565000.0,110.0,,CHE DE LA CROIX DU SUD,1992,83200.0,83137,Toulon,83,,2.0,,,,,,,,,,1,1.0,Maison,93.0,4.0,528.0,5.893371,43.153023,000EL,385
2025-414989,2025-02-11,1,Vente,135000.0,2.0,,PL A L HUILE,3690,83000.0,83137,Toulon,83,,4.0,51.99,,,,,,,,,1,2.0,Appartement,55.0,2.0,,5.933219,43.120297,000CM,388
2025-414991,2025-02-13,1,Vente,82000.0,147.0,,RUE HENRI VIENNE,3610,83000.0,83137,Toulon,83,,114.0,30.58,,,,,,,,,1,2.0,Appartement,31.0,1.0,,5.921917,43.129012,000CY,386
2025-414998,2025-02-06,1,Vente,160000.0,9010.0,,BD DE PARIS,5565,83200.0,83137,Toulon,83,,52.0,,72.0,,,,,,,,2,2.0,Appartement,97.0,5.0,,5.908725,43.130429,000CW,393
2025-415004,2025-01-30,1,Vente,35000.0,9001.0,,RUE ANDRE BLONDEL,0292,83100.0,83137,Toulon,83,,109.0,,67.0,,,,,,,,2,2.0,Appartement,66.0,3.0,,5.976831,43.123063,000AY,400
2025-415006,2025-02-10,1,Vente,115000.0,9.0,,ALL DU DOCTEUR LAURES,2307,83000.0,83137,Toulon,83,,72.0,,,,,,,,,,1,2.0,Appartement,53.0,3.0,,5.937268,43.113633,000BY,389
2025-415007,2025-02-14,1,Vente,198530.0,1610.0,,AV COLONEL PICOT,1755,83100.0,83137,Toulon,83,,17.0,,58.0,,,,,,,,2,2.0,Appartement,76.0,4.0,,5.974632,43.13154,000AW,385
2025-415019,2025-02-13,1,Vente,210000.0,98.0,,AV DE LA REPUBLIQUE,6175,83000.0,83137,Toulon,83,,55.0,,,,,,,,,,1,2.0,Appartement,36.0,1.0,,5.93044,43.120997,000CN,386
2025-415023,2025-02-07,1,Vente,263000.0,15.0,,RUE GOZZA,3435,83000.0,83137,Toulon,83,,4.0,,7.0,90.58,,,,,,,2,2.0,Appartement,95.0,5.0,,5.932951,43.110825,000BX,392
2025-415027,2025-02-17,1,Vente,168290.0,1.0,,RUE DOC CARENCE,2241,83000.0,83137,Toulon,83,,6.0,65.95,,,,,,,,,1,2.0,Appartement,72.0,3.0,,5.927878,43.124127,000CP,382
2025-415031,2025-02-13,1,Vente,146000.0,24.0,,RUE LAVIGERIE,4365,83200.0,83137,Toulon,83,,182.0,,202.0,66.0,,,,,,,2,2.0,Appartement,71.0,4.0,,5.916868,43.127669,000CY,386
2025-415032,2025-02-07,1,Vente,243000.0,35.0,,RUE VICTOR CLAPPIER,7145,83000.0,83137,Toulon,83,,16.0,115.95,7.0,,,,,,,,2,2.0,Appartement,120.0,5.0,,5.932641,43.125799,000CK,392
2025-415036,2025-01-30,1,Vente,166900.0,129.0,,AV COLONEL FABIEN,1740,83000.0,83137,Toulon,83,,98.0,,,,,,,,,,1,2.0,Appartement,49.0,2.0,,5.94068,43.122951,000CI,400
2025-415037,2025-02-17,1,Vente,80000.0,3.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,12.0,39.79,,,,,,,,,1,2.0,Appartement,40.0,2.0,,5.931859,43.122501,000CN,382
2025-415038,2025-01-31,1,Vente,30000.0,62.0,,AV LOUIS BOZZO,4600,83000.0,83137,Toulon,83,,2.0,,4.0,,,,,,,,2,2.0,Appartement,35.0,1.0,,5.943004,43.127326,000AR,399
2025-415041,2025-02-14,1,Vente,334626.0,389.0,,RUE ANDRE CHENIER,0295,83100.0,83137,Toulon,83,,26.0,74.97,,,,,,,,,1,2.0,Appartement,74.0,3.0,,5.960819,43.130534,000AS,385
2025-415042,2025-02-07,1,Vente,105000.0,115.0,,RUE DE SUEZ,6850,83100.0,83137,Toulon,83,,357.0,65.15,358.0,,,,,,,,2,2.0,Appartement,65.0,4.0,,5.953777,43.121637,000CE,392
2025-415046,2025-01-28,1,Vente,100000.0,215.0,,RUE JEAN JAURES,3895,83000.0,83137,Toulon,83,,20.0,36.24,,,,,,,,,1,2.0,Appartement,40.0,1.0,,5.929041,43.124632,000CO,402
2025-415051,2025-02-17,1,Vente,303000.0,128.0,,IMP DUTASTA,2460,83000.0,83137,Toulon,83,,14.0,,6.0,71.87,,,,,,,2,2.0,Appartement,72.0,3.0,,5.934365,43.105396,000BW,382
2025-415054,2025-01-27,1,Vente,564800.0,12.0,,IMP DES LAVANDES,4320,83000.0,83137,Toulon,83,,32.0,97.05,,,,,,,,,1,1.0,Maison,90.0,3.0,525.0,5.942516,43.133109,000AO,403
