id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,surface_terrain,longitude,latitude,section_prefixe,Anciennete_date_mutation
2024-1009941,2024-01-23,1,Vente,276000.0,436.0,,CHE DE L ORATOIRE,5470,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,85.0,4.0,310.0,5.898073,43.144499,000EH,773
2024-1009948,2024-01-15,1,Vente,285000.0,9006.0,,IMP BIDON,0885,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,68.0,4.0,435.0,5.944722,43.126375,000AR,781
2024-1010007,2024-02-13,1,Vente,330000.0,1754.0,,BD JEAN BAPTISTE ABEL,3815,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,69.0,4.0,470.0,5.97946,43.112738,000BK,752
2024-1010046,2024-01-31,1,Vente,251827.17,181.0,,RUE DU DAHOMEY,2030,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,56.0,3.0,228.0,5.888184,43.129023,000DP,765
2024-1010067,2024-02-08,1,Vente,210000.0,38.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,41.0,2.0,58.0,5.931787,43.121687,000CN,757
2024-1010067,2024-02-08,1,Vente,210000.0,38.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,14.0,1.0,58.0,5.931787,43.121687,000CN,757
2024-1010067,2024-02-08,1,Vente,210000.0,38.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,41.0,2.0,58.0,5.931787,43.121687,000CN,757
2024-1010067,2024-02-08,1,Vente,210000.0,38.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,41.0,2.0,58.0,5.931787,43.121687,000CN,757
2024-1010067,2024-02-08,1,Vente,210000.0,38.0,,RUE DES RIAUX,6220,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,30.0,2.0,58.0,5.931787,43.121687,000CN,757
2024-1010133,2024-02-16,1,Vente,385200.0,239.0,,RUE DU GABON,3098,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,83.0,3.0,500.0,5.887341,43.131067,000DP,749
2024-1010158,2024-02-08,1,Vente,410000.0,105.0,C,IMP RIGOUMEL,6248,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,111.0,4.0,739.0,5.907155,43.142154,000DV,757
2024-1010164,2024-01-30,1,Vente,400000.0,2.0,,AV CLAUDE FARRERE,1615,83000.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,112.0,4.0,285.0,5.950163,43.114253,000BR,766
2024-1010193,2024-02-14,1,Vente,320000.0,62.0,,RUE ALEXIS AGARRAT,0120,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,69.0,3.0,324.0,5.911647,43.14079,000DH,751
2024-1010240,2024-02-20,1,Vente,358000.0,244.0,,AV DE VERDUN,7115,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,64.0,3.0,425.0,5.972174,43.133215,000AV,745
2024-1010337,2024-02-02,1,Vente,360000.0,110.0,,CHE DU PELICAN,5690,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,49.0,3.0,885.0,5.969799,43.112008,000BK,763
2024-1010354,2024-02-23,1,Vente,450400.0,22.0,,AV DES SOURCES,6815,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,58.0,3.0,488.0,5.974294,43.129979,000AX,742
2024-1010354,2024-02-23,1,Vente,450400.0,22.0,,AV DES SOURCES,6815,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,41.0,2.0,488.0,5.974294,43.129979,000AX,742
2024-1010392,2024-02-21,1,Vente,310000.0,300.0,,RUE GAY LUSSAC,3215,83000.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,57.0,3.0,144.0,5.952573,43.116866,000BR,744
2024-1010435,2024-02-15,1,Vente,375000.0,192.0,,AV DE VERDUN,7115,83100.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,85.0,5.0,370.0,5.972784,43.133334,000AV,750
2024-1010550,2024-02-15,1,Vente,417000.0,155.0,,RUE ETIENNE DOLET,2700,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,86.0,4.0,191.0,5.918211,43.135398,000CZ,750
2024-1010601,2024-03-04,1,Vente,219750.0,2027.0,,AV JOSEPH GASQUET,4030,83100.0,83137,Toulon,83,,,,,,,,,,,,0,2.0,Appartement,73.0,3.0,164.0,5.97621,43.120626,000BD,732
2024-1010610,2024-02-23,1,Vente,379950.0,72.0,,RUE D ALEXANDRIE,0115,83200.0,83137,Toulon,83,,,,,,,,,,,,0,1.0,Maison,80.0,4.0,256.0,5.892604,43.129751,000DP,742
